Gameweek,Match,Score,Total Goals,True O/U,Pred O/U,Over %,Under %,Log Loss,Brier Score
31,Brentford vs Wolves,2-2,4,Over,Over,57.0%,43.0%,0.5623,0.185
31,Bournemouth vs Man United,2-2,4,Over,Over,65.6%,34.4%,0.4211,0.1181
31,Brighton vs Liverpool,2-1,3,Over,Over,53.2%,46.8%,0.6315,0.2192
31,Fulham vs Burnley,3-1,4,Over,Over,67.2%,32.8%,0.3978,0.1077
31,Everton vs Chelsea,3-0,3,Over,Over,64.2%,35.8%,0.4424,0.1278
31,Leeds vs Brentford,0-0,0,Under,Over,66.1%,33.9%,1.0829,0.4374
31,Newcastle vs Sunderland,1-2,3,Over,Over,60.0%,40.0%,0.5103,0.1598
31,Aston Villa vs West Ham,2-0,2,Over,Over,61.5%,38.5%,0.4865,0.1484
31,Tottenham vs Nott'm Forest,0-3,3,Over,Over,60.2%,39.8%,0.508,0.1586
31,West Ham vs Wolves,4-0,4,Over,Under,48.1%,51.8%,0.7308,0.2688
32,Arsenal vs Bournemouth,1-2,3,Over,Over,69.5%,30.5%,0.3643,0.0932
32,Brentford vs Everton,2-2,4,Over,Over,67.7%,32.3%,0.3907,0.1046
32,Burnley vs Brighton,0-2,2,Over,Over,62.6%,37.4%,0.4679,0.1397
32,Liverpool vs Fulham,2-0,2,Over,Over,77.7%,22.3%,0.2519,0.0496
32,Crystal Palace vs Newcastle,2-1,3,Over,Over,80.5%,19.5%,0.217,0.0381
32,Nott'm Forest vs Aston Villa,1-1,2,Over,Over,58.8%,41.2%,0.5303,0.1694
32,Sunderland vs Tottenham,1-0,1,Under,Over,61.3%,38.7%,0.9501,0.3761
32,Chelsea vs Man City,0-3,3,Over,Over,78.6%,21.4%,0.2409,0.0458
32,Man United vs Leeds,1-2,3,Over,Over,69.7%,30.3%,0.3604,0.0916
32,Brentford vs Fulham,0-0,0,Under,Over,78.9%,21.1%,1.5578,0.6232
33,Leeds vs Wolves,3-0,3,Over,Over,51.6%,48.4%,0.6618,0.2344
33,Newcastle vs Bournemouth,1-2,3,Over,Over,80.2%,19.8%,0.2203,0.0391
33,Tottenham vs Brighton,2-2,4,Over,Over,58.8%,41.2%,0.5317,0.1701
33,Chelsea vs Man United,0-1,1,Under,Over,83.6%,16.4%,1.8091,0.6992
33,Aston Villa vs Sunderland,4-3,7,Over,Under,44.9%,55.1%,0.8001,0.3033
33,Everton vs Liverpool,1-2,3,Over,Over,66.9%,33.1%,0.4021,0.1096
33,Nott'm Forest vs Burnley,4-1,5,Over,Over,60.5%,39.5%,0.5022,0.1559
33,Man City vs Arsenal,2-1,3,Over,Over,67.0%,33.0%,0.4008,0.109
33,Crystal Palace vs West Ham,0-0,0,Under,Over,64.4%,35.6%,1.0339,0.4153
33,Brighton vs Chelsea,3-0,3,Over,Over,62.9%,37.1%,0.4638,0.1377
34,Bournemouth vs Leeds,2-2,4,Over,Over,63.6%,36.4%,0.4519,0.1322
34,Burnley vs Man City,0-1,1,Under,Over,80.6%,19.4%,1.6378,0.649
34,Sunderland vs Nott'm Forest,0-5,5,Over,Over,59.5%,40.5%,0.5194,0.1641
34,Fulham vs Aston Villa,1-0,1,Under,Over,76.7%,23.3%,1.4584,0.5889
34,Liverpool vs Crystal Palace,3-1,4,Over,Over,71.3%,28.7%,0.338,0.0823
34,West Ham vs Everton,2-1,3,Over,Over,59.1%,40.9%,0.5259,0.1673
34,Wolves vs Tottenham,0-1,1,Under,Over,76.5%,23.5%,1.4469,0.5848
34,Arsenal vs Newcastle,1-0,1,Under,Over,81.5%,18.5%,1.6896,0.6649
34,Man United vs Brentford,2-1,3,Over,Over,79.5%,20.5%,0.2293,0.042
34,Leeds vs Burnley,3-1,4,Over,Over,71.8%,28.2%,0.3313,0.0795
35,Brentford vs West Ham,3-0,3,Over,Over,68.3%,31.7%,0.3818,0.1007
35,Newcastle vs Brighton,3-1,4,Over,Over,69.4%,30.6%,0.3647,0.0934
35,Wolves vs Sunderland,1-1,2,Over,Over,59.6%,40.4%,0.5175,0.1632
35,Arsenal vs Fulham,3-0,3,Over,Over,54.1%,45.9%,0.6136,0.2103
35,Bournemouth vs Crystal Palace,3-0,3,Over,Over,69.9%,30.1%,0.3577,0.0904
35,Man United vs Liverpool,3-2,5,Over,Over,82.2%,17.8%,0.1954,0.0315
35,Aston Villa vs Tottenham,1-2,3,Over,Over,76.2%,23.8%,0.2721,0.0567
35,Chelsea vs Nott'm Forest,1-3,4,Over,Over,73.3%,26.7%,0.3102,0.0711
35,Everton vs Man City,3-3,6,Over,Over,64.0%,36.0%,0.446,0.1295
35,Liverpool vs Chelsea,1-1,2,Over,Over,81.7%,18.3%,0.2019,0.0334
36,Brighton vs Wolves,3-0,3,Over,Over,59.8%,40.2%,0.5147,0.1618
36,Fulham vs Bournemouth,0-1,1,Under,Over,67.6%,32.4%,1.1258,0.4564
36,Sunderland vs Man United,0-0,0,Under,Over,78.7%,21.3%,1.5451,0.6189
36,Man City vs Brentford,3-0,3,Over,Over,79.9%,20.1%,0.2248,0.0405
36,Burnley vs Aston Villa,2-2,4,Over,Over,80.3%,19.7%,0.2194,0.0388
36,Crystal Palace vs Everton,2-2,4,Over,Over,75.8%,24.2%,0.2767,0.0584
36,Nott'm Forest vs Newcastle,1-1,2,Over,Over,83.1%,16.9%,0.1849,0.0285
36,West Ham vs Arsenal,0-1,1,Under,Over,65.7%,34.3%,1.0709,0.432
36,Tottenham vs Leeds,1-1,2,Over,Over,75.1%,24.9%,0.2858,0.0618
36,Man City vs Crystal Palace,3-0,3,Over,Over,75.0%,25.0%,0.2882,0.0627
37,Aston Villa vs Liverpool,4-2,6,Over,Over,85.6%,14.4%,0.155,0.0206
37,Man United vs Nott'm Forest,3-2,5,Over,Over,70.7%,29.3%,0.3471,0.086
37,Brentford vs Crystal Palace,2-2,4,Over,Over,72.0%,28.0%,0.3288,0.0785
37,Everton vs Sunderland,1-3,4,Over,Over,80.0%,20.0%,0.2236,0.0402
37,Leeds vs Brighton,1-0,1,Under,Over,66.3%,33.7%,1.0892,0.4402
37,Wolves vs Fulham,1-1,2,Over,Over,52.9%,47.1%,0.636,0.2215
37,Newcastle vs West Ham,3-1,4,Over,Over,75.1%,24.9%,0.2857,0.0618
37,Arsenal vs Burnley,1-0,1,Under,Over,70.6%,29.4%,1.2255,0.499
37,Bournemouth vs Man City,1-1,2,Over,Over,73.2%,26.8%,0.3121,0.0719
37,Chelsea vs Tottenham,2-1,3,Over,Over,73.9%,26.1%,0.3023,0.0681
38,Brighton vs Man United,0-3,3,Over,Over,66.4%,33.6%,0.409,0.1127
38,Burnley vs Wolves,1-1,2,Over,Over,69.2%,30.8%,0.3687,0.0951
38,Crystal Palace vs Arsenal,1-2,3,Over,Over,62.8%,37.1%,0.4644,0.138
38,Fulham vs Newcastle,2-0,2,Over,Over,73.0%,27.0%,0.3151,0.0731
38,Liverpool vs Brentford,1-1,2,Over,Over,90.6%,9.4%,0.099,0.0089
38,Man City vs Aston Villa,1-2,3,Over,Over,82.4%,17.6%,0.1935,0.0309
38,Nott'm Forest vs Bournemouth,1-1,2,Over,Over,78.1%,21.9%,0.2467,0.0478
38,Sunderland vs Chelsea,2-1,3,Over,Over,63.1%,36.9%,0.4601,0.136
38,Tottenham vs Everton,1-0,1,Under,Over,87.2%,12.8%,2.0518,0.7595
38,West Ham vs Leeds,3-0,3,Over,Over,65.6%,34.4%,0.4211,0.1181
